,Name,BI_LSTM-RI,NONE_TRPLT-RI,NONE_MREC-RI,NONE_VAE-RI,IDEC_TRPLT-RI,BI_GRU-RI,RES_CNN-RI,IDEC_REC-RI,D_RNN-RI,IDEC_MREC-RI,NONE_CNRV-RI,BI_RNN-RI,NONE_REC-RI,D_CNN-RI,MLP-RI,S_CNN-RI,BI_RNN+ATTN-RI,IDEC_CNRV-RI,IDEC_VAE-RI,BI_LSTM-ARI,NONE_TRPLT-ARI,NONE_MREC-ARI,NONE_VAE-ARI,IDEC_TRPLT-ARI,BI_GRU-ARI,RES_CNN-ARI,IDEC_REC-ARI,D_RNN-ARI,IDEC_MREC-ARI,NONE_CNRV-ARI,BI_RNN-ARI,NONE_REC-ARI,D_CNN-ARI,MLP-ARI,S_CNN-ARI,BI_RNN+ATTN-ARI,IDEC_CNRV-ARI,IDEC_VAE-ARI,BI_LSTM-NMI,NONE_TRPLT-NMI,NONE_MREC-NMI,NONE_VAE-NMI,IDEC_TRPLT-NMI,BI_GRU-NMI,RES_CNN-NMI,IDEC_REC-NMI,D_RNN-NMI,IDEC_MREC-NMI,NONE_CNRV-NMI,BI_RNN-NMI,NONE_REC-NMI,D_CNN-NMI,MLP-NMI,S_CNN-NMI,BI_RNN+ATTN-NMI,IDEC_CNRV-NMI,IDEC_VAE-NMI
96,ScreenType,0.365354695,0.540934705,0.53969,0.55132713,0.541113435,0.545045,0.55476125,0.562871,0.530956632,0.503532,0.557644266,0.55373875,0.579766,0.5621475,0.55874,0.5676225,0.54634125,0.557107699,0.567737312,0.000542421,0.000540507,0.051945,0.042844954,0.017118332,0.02269875,0.03756125,0.048949,-0.008285755,0.029017,0.023310984,0.02030875,0.039807,0.01864125,0.01372125,0.0398275,0.02061375,0.024461935,0.053761724,0.016551288,0.022137711,0.100894,0.032024723,0.010996986,0.0218375,0.03636625,0.052455,-0.017967156,0.039799,0.023935534,0.02121375,0.048235,0.01882,0.01626375,0.03865125,0.0218075,0.025688744,0.04667314
97,SemgHandGenderCh2,0.516064763,0.529659233,0.631979,0.540071048,0.530111771,0.50249625,0.5069975,0.521762,0.519549006,0.523288,0.528030322,0.5004675,0.608838,0.52059625,0.50905625,0.5067875,0.50531875,0.52488722,0.555740366,0.016470718,0.077836827,0.113485,0.118857573,0.094437129,-0.00443375,-0.00221375,0.009123,0.068610349,0.0117,0.055036138,0.00031875,0.101949,0.0086925,-0.0018525,-0.0026125,-0.00495875,0.048776746,0.130580876,0.004474956,0.064202237,0.216169,0.073463193,0.053599121,0.0023875,8e-05,0.022026,0.023865803,0.022509,0.056356737,0.00272375,0.180431,0.01907625,0.00518125,9.75e-05,0.0005675,0.050580559,0.088503399
98,SemgHandMovementCh2,0.643895687,0.705125328,0.700245,0.718714109,0.710045253,0.731905,0.66189125,0.683658,0.6975099,0.656693,0.735744792,0.7464475,0.692216,0.2536625,0.63235625,0.67516875,0.72374125,0.7346011,0.73424593,0.102595845,0.076121842,0.239781,0.130216802,0.101795826,0.12488375,0.1147775,0.120976,0.0781452,0.110987,0.077614908,0.1209075,0.193922,0.01511375,0.1062975,0.1257575,0.13764125,0.073204223,0.137046808,0.230215478,0.193480301,0.406754,0.207039194,0.180182002,0.23884,0.22820625,0.228519,0.155349158,0.221315,0.149274575,0.237415,0.272118,0.04471375,0.20212125,0.23804625,0.2447525,0.140792794,0.2156393
99,SemgHandSubjectCh2,0.646718576,0.711593379,0.667335,0.731493793,0.723912865,0.6903,0.61613125,0.660807,0.71212712,0.615646,0.720847032,0.6961575,0.737897,0.21210125,0.60588,0.6289325,0.6733,0.721239958,0.747825138,0.134929596,0.201866302,0.190265,0.282175643,0.232350092,0.08880875,0.06361625,0.101335,0.203219735,0.096907,0.153280628,0.0803675,0.16065,0.0003025,0.0590575,0.06323375,0.06371875,0.15493368,0.25755017,0.259169344,0.302330693,0.280513,0.329266654,0.307788887,0.146995,0.1271025,0.177253,0.292635465,0.183245,0.212707855,0.1299875,0.333277,0.019905,0.10907125,0.124125,0.10663625,0.208878589,0.345328307
100,ShakeGestureWiimoteZ,0.908282828,0.849899131,0.798495,0.855283443,0.843690737,0.80570625,0.8746975,0.866013,0.836937057,0.882822,0.898383838,0.9036875,0.818216,0.9036125,0.8186375,0.89113625,0.859445,0.898989899,0.88620931,0.525735992,0.271813965,0.32647,0.34325265,0.314157626,0.28110875,0.42485,0.430668,0.257624081,0.489341,0.419798577,0.51678625,0.422004,0.45669125,0.21299625,0.4822475,0.3217025,0.41748106,0.283474822,0.729968121,0.532589738,0.473149,0.532967568,0.545019324,0.5661075,0.680655,0.653924,0.522997892,0.698521,0.644248668,0.73819125,0.573922,0.66895875,0.45877875,0.71946125,0.5728475,0.644616912,0.563964086
101,ShapeletSim,0.501557789,0.479499584,0.673956,0.490270392,0.479824029,0.49866875,0.88761375,0.870347,0.46890157,0.740911,0.998888889,0.4986625,0.906054,0.5895675,0.49973625,0.9730025,0.79801625,0.9975,0.506504825,0.00562205,-0.021802888,0.239662,0.023000358,-0.004521752,-0.0025775,0.77529125,0.670224,-0.02756685,0.411338,0.997777723,-0.00266875,0.652585,0.1795,-0.00028875,0.94600375,0.59603625,0.994999876,0.030778223,0.014965728,-0.000151634,0.337061,0.011315495,-0.00642385,0.00176125,0.75471125,0.708369,-0.037980183,0.427119,0.995507323,0.0016975,0.717388,0.17205375,0.00376125,0.911285,0.5081975,0.989891476,0.025529442
102,ShapesAll,0.915525438,0.955074899,0.754154,0.965679352,0.956075127,0.959815,0.96683125,0.927531,0.946001436,0.935074,0.975181015,0.96788625,0.849401,0.9750575,0.97061375,0.96412375,0.679565,0.974341465,0.98345659,0.163891802,0.299578984,0.41949,0.335156607,0.31352753,0.15131875,0.13642125,0.175231,0.294038772,0.286229,0.349021218,0.261145,0.238482,0.36634125,0.2938275,0.1640975,0.12100625,0.340728049,0.358936373,0.671118898,0.667116858,0.511262,0.674300936,0.658126487,0.52389125,0.503035,0.516396,0.630721006,0.604719,0.688762706,0.6323275,0.459874,0.7163,0.66038375,0.5457625,0.4044475,0.687188802,0.694225386
103,SmallKitchenAppliances,0.342565198,0.380705581,0.716953,0.395961775,0.383573969,0.3423075,0.467205,0.5427,0.360958332,0.564059,0.590711962,0.338145,0.623475,0.5758125,0.53110625,0.438075,0.51101375,0.606816199,0.392233042,0.000592528,-0.018969979,0.420743,0.021703793,-0.003172721,0.0002525,0.0720325,0.17453,-0.028962491,0.172734,0.156659073,5.38e-05,0.290513,0.07331875,0.0037175,0.046165,0.11980875,0.17124968,0.033817792,0.027571984,0.009764822,0.41192,0.023746959,-0.000497792,0.0128675,0.132935,0.224236,-0.026880872,0.201536,0.170176967,0.0089675,0.297367,0.085115,0.00587,0.0934375,0.13964,0.172885735,0.037715252
104,SmoothSubspace,0.613846154,0.693579113,0.751388,0.705530355,0.695852702,0.74095,0.8772325,0.885896,0.684824059,0.807409,0.744821008,0.73631,0.864179,0.77531125,0.728915,0.8458425,0.681425,0.713743032,0.722544396,0.142951694,0.344941448,0.374984,0.383026208,0.359497302,0.42169125,0.72644875,0.747088,0.330707653,0.589974,0.431312609,0.405925,0.709973,0.4953975,0.39041125,0.65587875,0.2882275,0.364755549,0.397382412,0.128169515,0.366710709,0.449608,0.378103376,0.352619707,0.44481625,0.72566875,0.735377,0.321680333,0.645288,0.422673501,0.4285725,0.698051,0.51028125,0.40931875,0.6493325,0.33177875,0.359852769,0.387122259
105,SonyAIBORobotSurface1,0.525749312,0.65818375,0.635141,0.667740583,0.657335344,0.862405,0.8953,0.868217,0.646646324,0.763485,0.753091037,0.852785,0.700615,0.8956925,0.7422775,0.88253875,0.70953375,0.832002234,0.683872135,0.049271293,0.334760118,0.242914,0.377184478,0.353267652,0.7248025,0.79059625,0.736318,0.324906679,0.526685,0.505593132,0.70557625,0.396004,0.7913825,0.48430125,0.76508375,0.418745,0.663829609,0.388816686,0.080101408,0.327915943,0.291838,0.337628017,0.318523481,0.64493125,0.71952125,0.659881,0.2886449,0.472172,0.472890827,0.6376025,0.353519,0.71892375,0.4531975,0.709525,0.38299875,0.629687805,0.354077622
